iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
KNA,North America,Saint Kitts and Nevis,2021-09-17,1589.0,0.0,33.857,9.0,0.0,0.571,29675.419,0.0,632.3,168.08,0.0,10.672,1.17,,,,,,,,,257.0,35529.0,663.523,4.8,279.0,5.21,0.109,9.2,people tested,46884.0,24968.0,21916.0,,,42.0,87.56,46.63,40.93,,784.0,,53546.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,
LCA,North America,Saint Lucia,2021-09-17,10344.0,127.0,134.429,148.0,9.0,2.857,56095.14,688.716,729.001,802.599,48.807,15.494,1.25,,,,,,,,,,,,,,,,,,71517.0,42594.0,28923.0,,588.0,427.0,38.78,23.1,15.68,,2316.0,,184401.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,
VCT,North America,Saint Vincent and the Grenadines,2021-09-17,2613.0,0.0,27.429,13.0,0.0,0.143,23483.63,0.0,246.507,116.834,0.0,1.284,1.56,,,,,,,,,,,,,,,,,,32126.0,19512.0,12644.0,,842.0,47.0,28.87,17.54,11.36,,422.0,,111269.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,
WSM,Oceania,Samoa,2021-09-17,3.0,0.0,0.0,,,0.0,14.989,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,142566.0,97032.0,45534.0,,,658.0,71.23,48.48,22.75,,3288.0,,200144.0,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,
SMR,Europe,San Marino,2021-09-17,5412.0,4.0,5.571,90.0,0.0,0.0,159129.668,117.612,163.817,2646.281,0.0,0.0,1.23,,,,,,,,,,,,,,,,,,46917.0,24329.0,24329.0,,9.0,51.0,137.95,71.53,71.53,,1500.0,50.0,34010.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
STP,Africa,Sao Tome and Principe,2021-09-17,3025.0,41.0,34.0,43.0,1.0,0.571,13542.916,183.557,152.218,192.511,4.477,2.558,1.47,,,,,,,,,,,,,,,,,,57154.0,45088.0,12066.0,,,1284.0,25.59,20.19,5.4,,5748.0,,223364.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,
SAU,Asia,Saudi Arabia,2021-09-17,546411.0,75.0,83.143,8651.0,6.0,5.857,15461.247,2.122,2.353,244.789,0.17,0.166,0.26,,,,,,,,,49548.0,28248324.0,799.315,1.402,47578.0,1.346,0.001,1027.9,tests performed,40573432.0,23022785.0,17550647.0,,92500.0,201440.0,114.81,65.15,49.66,,5700.0,55.56,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,
SEN,Africa,Senegal,2021-09-17,73588.0,26.0,28.143,1842.0,1.0,2.286,4279.291,1.512,1.637,107.116,0.058,0.133,0.52,,,,,,,,,2564.0,787408.0,45.789,0.149,2150.0,0.125,0.014,72.0,tests performed,1768064.0,1203066.0,564998.0,,,3633.0,10.28,7.0,3.29,,211.0,,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,
SRB,Europe,Serbia,2021-09-17,853686.0,7572.0,6748.286,7698.0,34.0,29.286,125457.264,1112.777,991.725,1131.294,4.997,4.304,1.47,,,,,,,,,26183.0,5342565.0,785.141,3.848,22864.0,3.36,0.286,3.5,people tested,6238655.0,2990502.0,2854142.0,394011.0,20350.0,21255.0,91.68,43.95,41.94,5.79,3124.0,36.11,6804596.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,
SYC,Africa,Seychelles,2021-09-17,20593.0,0.0,0.0,106.0,0.0,0.0,208199.373,0.0,0.0,1071.681,0.0,0.0,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98910.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,
