iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
AFG,Asia,Afghanistan,2021-09-17,154487.0,126.0,75.0,7186.0,3.0,3.143,3878.131,3.163,1.883,180.392,0.075,0.079,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,
OWID_AFR,,Africa,2021-09-17,8137175.0,16028.0,17313.143,205386.0,444.0,468.857,5924.467,11.67,12.605,149.536,0.323,0.341,,,,,,,,,,,,,,,,,,,129280874.0,81743966.0,51893129.0,,131924.0,1433078.0,9.41,5.95,3.78,,1043.0,,1373486472.0,,,,,,,,,,,,,,,
ALB,Europe,Albania,2021-09-17,161324.0,959.0,861.571,2569.0,6.0,4.857,56153.048,333.805,299.893,894.208,2.088,1.691,1.09,,,,,,,,,,,,,,,,,,1632986.0,911372.0,721614.0,,7350.0,7655.0,56.84,31.72,25.12,,2665.0,,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,
DZA,Africa,Algeria,2021-09-17,201224.0,235.0,237.714,5670.0,19.0,18.714,4510.068,5.267,5.328,127.083,0.426,0.419,0.7,31.0,0.695,,,,,,,,,,,,,,,,9989662.0,5815039.0,4174623.0,,,248708.0,22.39,13.03,9.36,,5574.0,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,
AND,Europe,Andorra,2021-09-17,15124.0,11.0,5.857,130.0,0.0,0.0,195516.715,142.203,75.719,1680.585,0.0,0.0,0.96,,,,,,,,,,210856.0,2725.858,,154.0,1.991,0.034,29.1,people tested,,,,,,,,,,,,51.85,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,
AGO,Africa,Angola,2021-09-17,52208.0,381.0,323.571,1378.0,7.0,8.0,1538.534,11.228,9.535,40.609,0.206,0.236,1.15,,,,,,,,,,,,,,,,,,2469333.0,1510880.0,958453.0,,,38301.0,7.28,4.45,2.82,,1129.0,,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,
AIA,North America,Anguilla,2021-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18565.0,9498.0,9067.0,,,12.0,122.74,62.8,59.95,,793.0,,15125.0,,,,,,,,,,,,,81.88,,
ATG,North America,Antigua and Barbuda,2021-09-17,2603.0,299.0,77.714,55.0,7.0,1.143,26365.367,3028.523,787.155,557.086,70.902,11.576,1.6,,,,,,,,,,,,,,,,,,79922.0,43949.0,35973.0,,,335.0,80.95,44.52,36.44,,3393.0,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,
ARG,South America,Argentina,2021-09-17,5237159.0,2308.0,2192.857,114286.0,185.0,143.429,114835.314,50.608,48.083,2505.952,4.056,3.145,0.69,,,,,,,,,22861.0,13699212.0,300.383,0.501,27663.0,0.607,0.032,31.2,tests performed,48310770.0,28929766.0,19398787.0,,373808.0,287363.0,105.93,63.43,42.54,,6301.0,75.93,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
ARM,Asia,Armenia,2021-09-17,252082.0,759.0,630.857,5101.0,26.0,17.429,84929.626,255.717,212.544,1718.592,8.76,5.872,1.12,,,,,,,,,5067.0,1633587.0,550.376,1.707,5541.0,1.867,0.112,9.0,tests performed,335721.0,215278.0,120443.0,,,4628.0,11.31,7.25,4.06,,1559.0,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,
ABW,North America,Aruba,2021-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154447.0,80606.0,73841.0,,386.0,604.0,144.08,75.2,68.88,,5635.0,15.28,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,
OWID_ASI,,Asia,2021-09-17,73701622.0,154445.0,187167.714,1096584.0,2539.0,3028.0,15749.352,33.003,39.996,234.33,0.543,0.647,,,,,,,,,,,,,,,,,,,3937778340.0,2270834789.0,1589381786.0,14912375.0,9737041.0,21532174.0,84.15,48.53,33.96,0.32,4601.0,,4679660580.0,,,,,,,,,,,,,,,
AUS,Oceania,Australia,2021-09-17,84056.0,1856.0,1724.143,1148.0,7.0,9.143,3259.473,71.971,66.858,44.516,0.271,0.355,1.14,,,,,,,,,223818.0,34911907.0,1353.793,8.679,206264.0,7.998,0.009,117.5,tests performed,24054063.0,14768715.0,9285348.0,,302141.0,269150.0,93.28,57.27,36.01,,10437.0,71.76,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUT,Europe,Austria,2021-09-17,720455.0,2364.0,2077.429,10882.0,12.0,7.143,79669.276,261.416,229.726,1203.352,1.327,0.79,1.21,182.0,20.126,528.0,58.387,,,,,353847.0,81737713.0,9038.711,39.129,346790.0,38.349,0.006,165.4,tests performed,10685286.0,5640345.0,5330472.0,,14572.0,12428.0,118.16,62.37,58.95,,1374.0,49.07,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,
AZE,Asia,Azerbaijan,2021-09-17,467173.0,0.0,1732.714,6227.0,0.0,28.0,45696.692,0.0,169.486,609.096,0.0,2.739,1.1,,,,,,,,,12852.0,4702934.0,460.019,1.257,13480.0,1.319,0.206,4.9,tests performed,7806235.0,4570812.0,3235423.0,,60384.0,53684.0,76.36,44.71,31.65,,5251.0,58.33,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,
BHS,North America,Bahamas,2021-09-17,20030.0,235.0,107.857,504.0,35.0,7.286,50464.332,592.068,271.739,1269.796,88.18,18.356,1.03,,,,,,,,,,,,,,,,,,173130.0,105753.0,65915.0,,,1949.0,43.62,26.64,16.61,,4910.0,54.17,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHR,Asia,Bahrain,2021-09-17,274107.0,66.0,80.714,1388.0,0.0,0.0,156785.325,37.751,46.167,793.916,0.0,0.0,0.97,,,,,,,,,16656.0,6219122.0,3557.25,9.527,17460.0,9.987,0.005,208.2,units unclear,2534296.0,1159989.0,1103361.0,,1417.0,2375.0,144.96,66.35,63.11,,1358.0,39.35,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,
BGD,Asia,Bangladesh,2021-09-17,1540110.0,1907.0,1842.143,27147.0,38.0,45.0,9260.84,11.467,11.077,163.238,0.228,0.271,0.7,,,,,,,,,28615.0,9339121.0,56.157,0.172,27976.0,0.168,0.068,14.7,tests performed,35861843.0,21559401.0,14302442.0,,378210.0,444344.0,21.56,12.96,8.6,,2672.0,52.78,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,
BRB,North America,Barbados,2021-09-17,6358.0,110.0,85.571,57.0,3.0,0.857,22098.795,382.332,297.425,198.118,10.427,2.979,1.36,,,,,,,,,,,,,,,,,,221000.0,123950.0,97050.0,,1030.0,862.0,76.81,43.08,33.73,,2996.0,62.04,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,
BLR,Europe,Belarus,2021-09-17,512460.0,1979.0,1883.0,3978.0,12.0,12.143,54269.535,209.576,199.41,421.27,1.271,1.286,1.13,,,,,,,,,18329.0,8118970.0,859.799,1.941,21962.0,2.326,0.085,11.8,tests performed,3206505.0,1751254.0,1455251.0,,,17321.0,33.96,18.55,15.41,,1834.0,,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,
BEL,Europe,Belgium,2021-09-17,1219814.0,2341.0,2042.571,25497.0,3.0,6.143,104864.08,201.249,175.594,2191.907,0.258,0.528,1.05,217.0,18.655,681.0,58.544,,,430.063,36.971,53640.0,19384396.0,1666.424,4.611,46076.0,3.961,0.048,20.8,tests performed,16442235.0,8515499.0,8297278.0,,8716.0,10743.0,141.35,73.21,71.33,,924.0,43.06,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BLZ,North America,Belize,2021-09-17,18532.0,198.0,161.0,389.0,0.0,2.286,45767.63,488.992,397.614,960.695,0.0,5.645,1.29,,,,,,,,,,241828.0,597.232,,1098.0,2.712,0.116,8.6,tests performed,275719.0,180196.0,95523.0,,3712.0,2837.0,68.09,44.5,23.59,,7006.0,,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,
BEN,Africa,Benin,2021-09-17,21450.0,0.0,229.857,146.0,0.0,0.714,1722.749,0.0,18.461,11.726,0.0,0.057,0.64,,,,,,,,,,,,,,,,,,174104.0,152669.0,,,,582.0,1.4,1.23,,,47.0,31.48,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,
BMU,North America,Bermuda,2021-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86194.0,43549.0,42645.0,,,40.0,138.82,70.14,68.68,,644.0,,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,
BTN,Asia,Bhutan,2021-09-17,2596.0,0.0,0.0,3.0,0.0,0.0,3328.632,0.0,0.0,3.847,0.0,0.0,0.18,,,,,,,,,1874.0,1125970.0,1443.736,2.403,2192.0,2.811,0.0,,samples tested,1046117.0,567220.0,478897.0,,,127.0,134.13,72.73,61.4,,163.0,,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,
BOL,South America,Bolivia,2021-09-17,496700.0,668.0,343.857,18648.0,32.0,12.857,41976.057,56.453,29.059,1575.94,2.704,1.087,0.9,,,,,,,,,6790.0,2371896.0,200.449,0.574,5223.0,0.441,0.069,14.5,tests performed,6347661.0,4161019.0,3017983.0,,24066.0,18726.0,53.64,35.16,25.5,,1583.0,44.91,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,
BIH,Europe,Bosnia and Herzegovina,2021-09-17,225857.0,995.0,745.857,10203.0,42.0,29.714,69207.856,304.891,228.548,3126.437,12.87,9.105,1.29,,,,,,,,,3222.0,1185467.0,363.255,0.987,2901.0,0.889,0.249,4.0,tests performed,1060145.0,634063.0,426082.0,,,6601.0,32.49,19.43,13.06,,2023.0,,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,
BWA,Africa,Botswana,2021-09-17,172252.0,0.0,1226.714,2343.0,0.0,2.571,71854.299,0.0,511.719,977.374,0.0,1.073,1.08,,,,,,,,,,,,,,,,,,587595.0,365655.0,221940.0,,,2802.0,24.51,15.25,9.26,,1169.0,,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,
BRA,South America,Brazil,2021-09-17,21080219.0,11202.0,15052.714,589573.0,327.0,532.429,98508.716,52.347,70.342,2755.098,1.528,2.488,0.81,,,,,,,,,,,,,,,,,,218651740.0,145113195.0,78072189.0,,2040092.0,1826426.0,102.18,67.81,36.48,,8535.0,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,
BRN,Asia,Brunei,2021-09-17,4814.0,139.0,131.429,24.0,1.0,0.857,10902.947,314.813,297.665,54.356,2.265,1.941,1.24,,,,,,,,,,,,,,,,,,385602.0,237015.0,148587.0,,,3755.0,87.33,53.68,33.65,,8504.0,79.63,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,
BGR,Europe,Bulgaria,2021-09-17,480777.0,1892.0,1550.143,19955.0,79.0,70.857,69711.621,274.336,224.767,2893.432,11.455,10.274,1.08,380.0,55.099,4572.0,662.93,,,,,,4560069.0,661.2,,20694.0,3.001,0.073,13.7,tests performed,2458928.0,,1272680.0,,10446.0,7996.0,35.65,,18.45,,1159.0,,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BFA,Africa,Burkina Faso,2021-09-17,14003.0,19.0,13.857,172.0,0.0,0.143,651.39,0.884,0.645,8.001,0.0,0.007,1.22,,,,,,,,,,,,,,,,,,166160.0,166160.0,102268.0,,,4780.0,0.77,0.77,0.48,,222.0,16.67,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,
BDI,Africa,Burundi,2021-09-17,14189.0,0.0,20.286,38.0,0.0,0.0,1157.773,0.0,1.655,3.101,0.0,0.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,
KHM,Asia,Cambodia,2021-09-17,102834.0,698.0,664.286,2089.0,11.0,10.0,6068.175,41.189,39.199,123.271,0.649,0.59,1.07,,,,,,,,,,2289480.0,135.101,,,,,,tests performed,21612643.0,11608143.0,10114802.0,915581.0,290798.0,151164.0,127.53,68.5,59.69,5.4,8920.0,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,
CMR,Africa,Cameroon,2021-09-17,85414.0,0.0,172.0,1368.0,0.0,1.571,3137.422,0.0,6.318,50.249,0.0,0.058,0.16,,,,,,,,,,,,,,,,,,444521.0,363773.0,80748.0,,,1415.0,1.63,1.34,0.3,,52.0,22.22,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,
CAN,North America,Canada,2021-09-17,1577335.0,5107.0,4454.429,27421.0,44.0,27.286,41434.764,134.155,117.013,720.318,1.156,0.717,1.2,703.0,18.467,2091.0,54.928,,,,,108965.0,41861477.0,1099.653,2.862,90454.0,2.376,0.048,20.6,tests performed,54934350.0,28629817.0,26304533.0,,162254.0,95642.0,144.31,75.21,69.1,,2512.0,66.2,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,
CPV,Africa,Cape Verde,2021-09-17,36970.0,79.0,77.571,327.0,0.0,1.0,65794.508,140.594,138.052,581.953,0.0,1.78,1.11,,,,,,,,,1130.0,,,2.011,,,,,tests performed,368789.0,272501.0,94997.0,,,5435.0,65.63,48.5,16.91,,9673.0,59.26,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,
CYM,North America,Cayman Islands,2021-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104609.0,54167.0,50442.0,,305.0,299.0,157.31,81.46,75.85,,4496.0,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,
CAF,Africa,Central African Republic,2021-09-17,11309.0,0.0,0.0,100.0,0.0,0.0,2298.583,0.0,0.0,20.325,0.0,0.0,0.11,,,,,,,,,,,,,,,,,,112492.0,102591.0,9901.0,,,240.0,2.29,2.09,0.2,,49.0,,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,
TCD,Africa,Chad,2021-09-17,5025.0,4.0,1.857,174.0,0.0,0.0,297.074,0.236,0.11,10.287,0.0,0.0,0.93,,,,,,,,,,,,,,,,,,104707.0,86821.0,17886.0,,,4229.0,0.62,0.51,0.11,,250.0,25.0,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,
CHL,South America,Chile,2021-09-17,1646403.0,583.0,463.857,37318.0,25.0,20.0,85694.981,30.345,24.144,1942.395,1.301,1.041,0.92,,,,,,,,,61697.0,20840102.0,1084.724,3.211,49265.0,2.564,0.009,108.6,tests performed,30772997.0,14671991.0,14007210.0,2654389.0,53648.0,100268.0,160.17,76.37,72.91,13.82,5219.0,63.43,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,
CHN,Asia,China,2021-09-17,95686.0,46.0,67.143,4636.0,0.0,0.0,66.255,0.032,0.046,3.21,0.0,0.0,1.53,,,,,,,,,,,,,,,,,,2165679000.0,1095000000.0,1011584000.0,,4251000.0,5120857.0,149.96,75.82,70.04,,3546.0,76.39,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,
COL,South America,Colombia,2021-09-17,4937596.0,1544.0,1546.286,125826.0,44.0,42.429,96313.567,30.118,30.162,2454.383,0.858,0.828,0.85,,,,,,,,,55581.0,24864554.0,485.012,1.084,45978.0,0.897,0.046,21.7,tests performed,37830713.0,24733487.0,15902438.0,,203207.0,159428.0,73.79,48.25,31.02,,3110.0,51.39,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,
COM,Africa,Comoros,2021-09-17,4104.0,3.0,1.571,147.0,0.0,0.0,4619.25,3.377,1.769,165.456,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,334369.0,174765.0,159604.0,,,4381.0,37.63,19.67,17.96,,4931.0,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,
COG,Africa,Congo,2021-09-17,13701.0,0.0,0.0,183.0,0.0,0.0,2421.948,0.0,0.0,32.349,0.0,0.0,0.52,,,,,,,,,,,,,,,,,,319231.0,207265.0,111966.0,,,1563.0,5.64,3.66,1.98,,276.0,35.19,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
CRI,North America,Costa Rica,2021-09-17,505163.0,2801.0,2197.0,5949.0,30.0,27.857,98298.85,545.042,427.511,1157.606,5.838,5.421,1.11,,,,,,,,,3678.0,1794154.0,349.122,0.716,6832.0,1.329,0.296,3.4,people tested,4872085.0,3144786.0,1727299.0,,,51230.0,94.81,61.19,33.61,,9969.0,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CIV,Africa,Cote d'Ivoire,2021-09-17,58743.0,212.0,163.571,553.0,7.0,8.286,2171.354,7.836,6.046,20.441,0.259,0.306,1.02,,,,,,,,,3669.0,964928.0,35.667,0.136,3567.0,0.132,0.044,22.6,samples tested,1698973.0,1193877.0,273400.0,,34019.0,33099.0,6.28,4.41,1.01,,1223.0,22.22,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,
HRV,Europe,Croatia,2021-09-17,389654.0,1394.0,1101.143,8481.0,9.0,9.714,95464.661,341.528,269.778,2077.833,2.205,2.38,1.27,,,469.0,114.904,,,,,10743.0,2695369.0,660.361,2.632,9608.0,2.354,0.109,9.1,people tested,3356659.0,1775653.0,1663891.0,,7701.0,5056.0,82.24,43.5,40.77,,1239.0,,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,
CUB,North America,Cuba,2021-09-17,784416.0,8291.0,7897.571,6676.0,75.0,76.571,69310.019,732.582,697.82,589.883,6.627,6.766,1.02,,,,,,,,,,,,,,,,,,17220087.0,7461666.0,4444521.0,11355.0,276791.0,241939.0,152.15,65.93,39.27,0.1,21377.0,,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,
CUW,North America,Curacao,2021-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185169.0,97150.0,88019.0,,40.0,157.0,112.36,58.95,53.41,,953.0,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,
CYP,Europe,Cyprus,2021-09-17,116494.0,0.0,74.429,534.0,0.0,1.0,131186.198,0.0,83.815,601.348,0.0,1.126,0.7,20.0,22.522,112.0,126.125,13.0,14.64,65.0,73.198,51255.0,12522182.0,14101.477,57.719,57589.0,64.852,0.002,608.0,tests performed,1129665.0,589098.0,540567.0,,1674.0,1753.0,127.21,66.34,60.87,,1974.0,43.52,888005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,
CZE,Europe,Czechia,2021-09-17,1685435.0,554.0,422.857,30427.0,5.0,2.0,157156.667,51.657,39.429,2837.135,0.466,0.186,1.27,20.0,1.865,128.0,11.935,41.117,3.834,176.504,16.458,76326.0,,,7.117,65838.0,6.139,0.006,166.7,tests performed,11686508.0,6028517.0,5878531.0,,10764.0,10394.0,108.97,56.21,54.81,,969.0,,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,
COD,Africa,Democratic Republic of Congo,2021-09-17,56387.0,30.0,41.571,1068.0,0.0,0.0,610.394,0.325,0.45,11.561,0.0,0.0,0.95,,,,,,,,,,,,,,,,,,120062.0,85182.0,25452.0,,,1655.0,0.13,0.09,0.03,,18.0,37.96,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,
DNK,Europe,Denmark,2021-09-17,355575.0,340.0,372.571,2624.0,3.0,2.0,61165.754,58.487,64.089,451.379,0.516,0.344,0.73,32.0,5.505,125.0,21.502,,,147.76,25.417,25726.0,40601051.0,6984.163,4.425,39588.0,6.81,0.011,89.2,tests performed,8716356.0,4440213.0,4322533.0,,6014.0,7313.0,149.94,76.38,74.36,,1258.0,24.07,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,
DJI,Africa,Djibouti,2021-09-17,11960.0,0.0,17.286,157.0,0.0,0.0,11933.781,0.0,17.248,156.656,0.0,0.0,1.58,,,,,,,,,,,,,,,,,,66010.0,39923.0,26087.0,,,266.0,6.59,3.98,2.6,,265.0,,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,
DMA,North America,Dominica,2021-09-17,2758.0,0.0,68.286,8.0,0.0,0.286,38214.266,0.0,946.152,110.846,0.0,3.959,1.41,,,,,,,,,,,,,,,,,,43971.0,23300.0,20671.0,,,82.0,60.93,32.28,28.64,,1136.0,72.22,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DOM,North America,Dominican Republic,2021-09-17,354716.0,273.0,279.143,4027.0,2.0,1.857,32383.172,24.923,25.484,367.638,0.183,0.17,1.08,,,,,,,,,,2010899.0,183.581,,3873.0,0.354,0.073,13.8,samples tested,11585713.0,5957432.0,4802290.0,825991.0,32793.0,24480.0,105.77,54.39,43.84,7.54,2235.0,53.24,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,
ECU,South America,Ecuador,2021-09-17,505860.0,0.0,112.143,32559.0,0.0,19.0,28278.544,0.0,6.269,1820.111,0.0,1.062,0.71,,,,,,,,,2884.0,1710032.0,95.594,0.161,1812.0,0.101,0.108,9.3,people tested,20426849.0,10699102.0,9727747.0,,47669.0,28753.0,114.19,59.81,54.38,,1607.0,65.74,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,
EGY,Africa,Egypt,2021-09-17,295639.0,588.0,517.286,16935.0,14.0,12.571,2835.639,5.64,4.962,162.433,0.134,0.121,1.32,,,,,,,,,,,,,,,,,,11989196.0,7743420.0,4245776.0,,,186725.0,11.5,7.43,4.07,,1791.0,,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,
SLV,North America,El Salvador,2021-09-17,99701.0,0.0,225.571,3078.0,12.0,10.429,15295.083,0.0,34.605,472.195,1.841,1.6,0.87,,,,,,,,,,,,,,,,,,7065918.0,3875388.0,3190530.0,,56061.0,34130.0,108.4,59.45,48.95,,5236.0,,6518500.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,
GNQ,Africa,Equatorial Guinea,2021-09-17,11063.0,0.0,111.286,137.0,0.0,1.143,7630.229,0.0,76.755,94.49,0.0,0.788,1.27,,,,,,,,,2175.0,210877.0,145.443,1.5,1012.0,0.698,0.134,7.4,tests performed,370163.0,210358.0,159805.0,,,1131.0,25.53,14.51,11.02,,780.0,,1449891.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,
ERI,Africa,Eritrea,2021-09-17,6669.0,2.0,2.0,40.0,0.0,0.0,1851.748,0.555,0.555,11.107,0.0,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,3601462.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,
EST,Europe,Estonia,2021-09-17,148923.0,532.0,434.0,1322.0,2.0,1.857,112378.772,401.452,327.501,997.594,1.509,1.401,1.11,15.0,11.319,180.0,135.83,9.971,7.525,128.632,97.067,6453.0,1848009.0,1394.526,4.869,5831.0,4.4,0.075,13.4,tests performed,1326099.0,745168.0,580931.0,,3783.0,3427.0,100.07,56.23,43.84,,2586.0,,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,
SWZ,Africa,Eswatini,2021-09-17,45317.0,43.0,77.143,1194.0,0.0,3.857,38654.212,36.678,65.801,1018.451,0.0,3.29,0.59,,,,,,,,,,,,,,,,,,210277.0,180709.0,172985.0,,,897.0,17.94,15.41,14.76,,765.0,59.26,1172369.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,
ETH,Africa,Ethiopia,2021-09-17,330494.0,1759.0,1243.857,5090.0,31.0,29.429,2803.738,14.922,10.552,43.181,0.263,0.25,0.99,,,,,,,,,9725.0,3358285.0,28.49,0.083,6961.0,0.059,0.17,5.9,tests performed,2960109.0,2414898.0,545211.0,,42676.0,29712.0,2.51,2.05,0.46,,252.0,43.52,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,
